epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.823,1.39315,2.13999,1.4843,0.53659,0.31926,0.33649,0.21223,1.56573,2.02554,1.65794,0.000332916,0.000332916,0.000332916
2,315.665,1.41477,1.69292,1.50918,0.5665,0.41653,0.44359,0.27927,1.42735,1.59085,1.55756,0.000659654,0.000659654,0.000659654
3,462.643,1.38291,1.59445,1.48141,0.59178,0.43472,0.47324,0.30911,1.43381,1.64363,1.55516,0.000979791,0.000979791,0.000979791
4,608.525,1.31677,1.45382,1.43262,0.65953,0.51083,0.55933,0.37411,1.26344,1.29922,1.38424,0.0009703,0.0009703,0.0009703
5,754.292,1.23604,1.31253,1.36947,0.65618,0.53931,0.58819,0.39995,1.22022,1.20976,1.34774,0.0009604,0.0009604,0.0009604
6,900.152,1.18552,1.23573,1.33145,0.67362,0.56837,0.61713,0.42423,1.1676,1.14708,1.32817,0.0009505,0.0009505,0.0009505
7,1045.9,1.14711,1.17102,1.30248,0.76407,0.56683,0.64374,0.45277,1.11436,1.06955,1.28907,0.0009406,0.0009406,0.0009406
8,1191.79,1.11087,1.09848,1.27715,0.73697,0.60473,0.66652,0.47069,1.1119,1.01694,1.26418,0.0009307,0.0009307,0.0009307
9,1337.58,1.08132,1.0718,1.25706,0.78307,0.58159,0.67229,0.4791,1.05729,0.97768,1.23458,0.0009208,0.0009208,0.0009208
10,1483.42,1.0593,1.0326,1.24108,0.72483,0.62956,0.68314,0.48159,1.0502,0.97134,1.23475,0.0009109,0.0009109,0.0009109
11,1629.27,1.04539,0.98917,1.22967,0.7295,0.63976,0.70658,0.50749,1.01853,0.91824,1.19951,0.000901,0.000901,0.000901
12,1774.85,1.02582,0.96287,1.21665,0.73901,0.66086,0.70883,0.50934,1.01272,0.9093,1.20819,0.0008911,0.0008911,0.0008911
13,1920.97,1.00297,0.93632,1.19622,0.72388,0.65728,0.70783,0.51626,0.98887,0.88981,1.18987,0.0008812,0.0008812,0.0008812
14,2066.7,0.99267,0.91234,1.19053,0.73864,0.68869,0.73682,0.53626,0.97082,0.84505,1.15861,0.0008713,0.0008713,0.0008713
15,2212.51,0.96266,0.87192,1.1714,0.72981,0.67949,0.73109,0.53145,0.9657,0.84785,1.16403,0.0008614,0.0008614,0.0008614
16,2357.84,0.94542,0.8684,1.16305,0.76815,0.68061,0.73733,0.54935,0.93313,0.82106,1.1373,0.0008515,0.0008515,0.0008515
17,2503.76,0.94091,0.8441,1.15168,0.76,0.68941,0.7379,0.54697,0.93417,0.82103,1.13821,0.0008416,0.0008416,0.0008416
18,2649.28,0.92917,0.82793,1.14979,0.75353,0.69171,0.74971,0.55593,0.92342,0.78988,1.12657,0.0008317,0.0008317,0.0008317
19,2795.21,0.91856,0.81996,1.1454,0.7286,0.70659,0.74748,0.55576,0.92775,0.79501,1.14168,0.0008218,0.0008218,0.0008218
20,2940.71,0.91425,0.81734,1.14242,0.7764,0.70315,0.76075,0.56625,0.91324,0.76487,1.12485,0.0008119,0.0008119,0.0008119
21,3086.36,0.9002,0.78701,1.1298,0.76345,0.72417,0.76811,0.57712,0.89577,0.74459,1.11062,0.000802,0.000802,0.000802
22,3232.16,0.89191,0.77855,1.12344,0.79071,0.70328,0.75887,0.57042,0.90403,0.75869,1.12183,0.0007921,0.0007921,0.0007921
23,3377.43,0.87824,0.7605,1.11594,0.78245,0.71898,0.76558,0.57211,0.89507,0.74778,1.11352,0.0007822,0.0007822,0.0007822
24,3522.8,0.87644,0.75291,1.11449,0.77072,0.72035,0.76505,0.57603,0.89755,0.74366,1.11015,0.0007723,0.0007723,0.0007723
25,3668.32,0.87337,0.75635,1.10689,0.78407,0.71574,0.76675,0.58005,0.88929,0.73177,1.1093,0.0007624,0.0007624,0.0007624
26,3814,0.8649,0.73097,1.10125,0.77587,0.71886,0.77777,0.58822,0.87357,0.71116,1.09648,0.0007525,0.0007525,0.0007525
27,3960.03,0.84992,0.72557,1.09548,0.7829,0.73611,0.78648,0.59681,0.86663,0.70554,1.09083,0.0007426,0.0007426,0.0007426
28,4105.8,0.84307,0.70848,1.0907,0.79556,0.72246,0.78638,0.59915,0.85292,0.69262,1.08381,0.0007327,0.0007327,0.0007327
29,4251.6,0.83937,0.70451,1.09301,0.78586,0.74084,0.79081,0.60212,0.85195,0.67935,1.08278,0.0007228,0.0007228,0.0007228
30,4397.51,0.83404,0.69562,1.08535,0.8063,0.7374,0.7968,0.60499,0.85081,0.67444,1.0843,0.0007129,0.0007129,0.0007129
31,4543.22,0.82334,0.67522,1.07802,0.80513,0.7432,0.79833,0.60972,0.83597,0.6634,1.06635,0.000703,0.000703,0.000703
32,4689.05,0.81742,0.67526,1.07523,0.80738,0.74666,0.79998,0.60931,0.84529,0.66716,1.07751,0.0006931,0.0006931,0.0006931
33,4834.27,0.81311,0.67185,1.06765,0.79803,0.74942,0.80254,0.61054,0.84164,0.66036,1.07487,0.0006832,0.0006832,0.0006832
34,4979.87,0.81209,0.66249,1.06774,0.78986,0.75048,0.79782,0.61344,0.83119,0.65745,1.06707,0.0006733,0.0006733,0.0006733
35,5125.61,0.80275,0.66004,1.06599,0.79327,0.74354,0.79759,0.61335,0.82608,0.65187,1.06725,0.0006634,0.0006634,0.0006634
36,5270.8,0.80613,0.65107,1.06334,0.8044,0.7485,0.80118,0.61701,0.83114,0.64588,1.06789,0.0006535,0.0006535,0.0006535
37,5416.52,0.79925,0.64361,1.05604,0.80798,0.74195,0.80317,0.61758,0.81817,0.63748,1.06302,0.0006436,0.0006436,0.0006436
38,5562.19,0.79021,0.63543,1.05149,0.8099,0.7557,0.80922,0.62528,0.81543,0.63076,1.05595,0.0006337,0.0006337,0.0006337
39,5707.77,0.78635,0.62951,1.05253,0.82061,0.75145,0.8119,0.62679,0.81796,0.62352,1.05805,0.0006238,0.0006238,0.0006238
40,5853.48,0.76945,0.61543,1.04249,0.79607,0.76197,0.81689,0.62903,0.81215,0.61554,1.05114,0.0006139,0.0006139,0.0006139
41,5999.28,0.77004,0.61557,1.04494,0.81215,0.762,0.81468,0.63134,0.80532,0.61648,1.0544,0.000604,0.000604,0.000604
42,6145.1,0.76408,0.61223,1.04112,0.80966,0.763,0.81455,0.63269,0.8049,0.61324,1.04733,0.0005941,0.0005941,0.0005941
43,6290.77,0.76813,0.60837,1.03916,0.80798,0.76155,0.81567,0.63247,0.80368,0.61183,1.05105,0.0005842,0.0005842,0.0005842
44,6436.09,0.76112,0.59715,1.03547,0.81657,0.75709,0.81504,0.63506,0.79588,0.60955,1.04188,0.0005743,0.0005743,0.0005743
45,6581.66,0.75267,0.59274,1.03422,0.80913,0.76849,0.81798,0.63604,0.79033,0.59798,1.0409,0.0005644,0.0005644,0.0005644
46,6727.39,0.74939,0.58508,1.03045,0.81461,0.77173,0.8205,0.63939,0.79263,0.60072,1.03929,0.0005545,0.0005545,0.0005545
47,6873.19,0.74773,0.58796,1.02835,0.82705,0.76416,0.82314,0.64065,0.79213,0.59532,1.04559,0.0005446,0.0005446,0.0005446
48,7020.02,0.74372,0.58335,1.02557,0.81542,0.76537,0.82408,0.64312,0.78254,0.58994,1.03327,0.0005347,0.0005347,0.0005347
49,7166.28,0.74126,0.58015,1.02785,0.81285,0.7816,0.82413,0.64687,0.77745,0.58804,1.03088,0.0005248,0.0005248,0.0005248
50,7311.97,0.73728,0.57185,1.02098,0.81786,0.78086,0.82611,0.64868,0.7746,0.58133,1.03096,0.0005149,0.0005149,0.0005149
51,7457.73,0.72565,0.56469,1.01798,0.82441,0.7708,0.82717,0.64852,0.77912,0.58658,1.03529,0.000505,0.000505,0.000505
52,7603.3,0.72681,0.56034,1.0114,0.8238,0.78082,0.82928,0.65045,0.77829,0.58215,1.03248,0.0004951,0.0004951,0.0004951
53,7749.16,0.71658,0.56084,1.01086,0.81887,0.77986,0.82697,0.64966,0.77654,0.57766,1.02859,0.0004852,0.0004852,0.0004852
54,7894.56,0.71646,0.55063,1.00868,0.82071,0.77942,0.82935,0.65062,0.772,0.57362,1.03079,0.0004753,0.0004753,0.0004753
55,8040.26,0.70385,0.54273,1.0033,0.82502,0.77502,0.82738,0.65068,0.767,0.57068,1.0261,0.0004654,0.0004654,0.0004654
56,8186,0.70006,0.54131,1.00348,0.82887,0.77492,0.83078,0.65463,0.76179,0.57241,1.0259,0.0004555,0.0004555,0.0004555
57,8331.93,0.70659,0.53538,1.00204,0.82403,0.77989,0.82904,0.65507,0.76283,0.57255,1.02596,0.0004456,0.0004456,0.0004456
58,8477.51,0.69818,0.52819,0.99502,0.83744,0.7754,0.83279,0.65734,0.75822,0.56299,1.02667,0.0004357,0.0004357,0.0004357
59,8623.37,0.70235,0.53423,1.00058,0.83528,0.78364,0.83618,0.6598,0.75662,0.55761,1.02557,0.0004258,0.0004258,0.0004258
60,8769.12,0.68722,0.52503,0.99825,0.82722,0.78988,0.83696,0.6608,0.75269,0.55151,1.02279,0.0004159,0.0004159,0.0004159
61,8915.07,0.6881,0.51729,0.99068,0.82891,0.78964,0.83617,0.66087,0.75936,0.5535,1.01981,0.000406,0.000406,0.000406
62,9060.74,0.68426,0.51481,0.99024,0.83924,0.78567,0.83988,0.66354,0.75596,0.55003,1.02342,0.0003961,0.0003961,0.0003961
63,9206.39,0.68138,0.51456,0.98646,0.84254,0.78665,0.83827,0.66158,0.75431,0.54692,1.02364,0.0003862,0.0003862,0.0003862
64,9351.52,0.68101,0.50906,0.98901,0.83708,0.78862,0.83937,0.66224,0.75577,0.55258,1.02507,0.0003763,0.0003763,0.0003763
65,9496.78,0.67287,0.50194,0.98264,0.8383,0.79376,0.8409,0.66429,0.75027,0.54594,1.01899,0.0003664,0.0003664,0.0003664
66,9642.52,0.67279,0.50869,0.98203,0.84211,0.79417,0.84064,0.66516,0.74748,0.54253,1.02236,0.0003565,0.0003565,0.0003565
67,9788.24,0.67036,0.49904,0.98409,0.83817,0.79421,0.84192,0.66614,0.74278,0.54361,1.01729,0.0003466,0.0003466,0.0003466
68,9934.1,0.66916,0.49802,0.98175,0.85046,0.78757,0.84274,0.66731,0.74266,0.53494,1.01617,0.0003367,0.0003367,0.0003367
69,10079.8,0.66509,0.4953,0.97982,0.84217,0.79661,0.84326,0.66759,0.74135,0.53994,1.01292,0.0003268,0.0003268,0.0003268
70,10225.5,0.65212,0.48156,0.97474,0.84315,0.79289,0.84269,0.66875,0.74172,0.53837,1.01709,0.0003169,0.0003169,0.0003169
71,10371.2,0.64976,0.48375,0.974,0.84031,0.79339,0.84239,0.66916,0.73817,0.53995,1.01539,0.000307,0.000307,0.000307
72,10517.1,0.6497,0.47891,0.97427,0.82785,0.79937,0.8419,0.66979,0.73801,0.54235,1.01621,0.0002971,0.0002971,0.0002971
73,10662.9,0.64276,0.47742,0.96439,0.84233,0.79548,0.84292,0.67032,0.73828,0.53634,1.01462,0.0002872,0.0002872,0.0002872
74,10808.8,0.64187,0.47685,0.96912,0.8435,0.79209,0.84256,0.67142,0.73841,0.53276,1.01309,0.0002773,0.0002773,0.0002773
75,10954.4,0.63761,0.4711,0.96867,0.85297,0.79165,0.84564,0.67147,0.74309,0.53169,1.02022,0.0002674,0.0002674,0.0002674
76,11100.1,0.63647,0.4675,0.96534,0.84715,0.79327,0.84684,0.67332,0.74031,0.52938,1.02044,0.0002575,0.0002575,0.0002575
77,11245.8,0.62686,0.45759,0.96248,0.85105,0.79415,0.84806,0.67555,0.73926,0.52559,1.01732,0.0002476,0.0002476,0.0002476
78,11391.5,0.62537,0.45799,0.96163,0.85124,0.79269,0.84855,0.67666,0.73613,0.52177,1.01487,0.0002377,0.0002377,0.0002377
79,11537.1,0.62548,0.45509,0.9596,0.85196,0.78964,0.84808,0.67712,0.73423,0.52629,1.01038,0.0002278,0.0002278,0.0002278
80,11682.9,0.61847,0.44961,0.95528,0.85371,0.78673,0.84652,0.6765,0.73245,0.52536,1.01382,0.0002179,0.0002179,0.0002179
81,11828,0.61428,0.45097,0.95712,0.85157,0.79031,0.84718,0.67539,0.73402,0.52631,1.01693,0.000208,0.000208,0.000208
82,11973.2,0.61602,0.45042,0.95791,0.84721,0.79718,0.84957,0.67746,0.73339,0.52221,1.016,0.0001981,0.0001981,0.0001981
83,12118.9,0.60839,0.44144,0.95149,0.84929,0.79386,0.84927,0.67744,0.72986,0.52094,1.01253,0.0001882,0.0001882,0.0001882
84,12264.2,0.60242,0.43667,0.95005,0.85032,0.79241,0.8487,0.67824,0.72957,0.52196,1.01315,0.0001783,0.0001783,0.0001783
85,12410.1,0.60521,0.43848,0.95054,0.85103,0.78718,0.84812,0.67904,0.72818,0.52605,1.01109,0.0001684,0.0001684,0.0001684
86,12555.9,0.59992,0.4384,0.9489,0.85599,0.79043,0.84919,0.67973,0.72788,0.52544,1.01117,0.0001585,0.0001585,0.0001585
87,12702,0.6012,0.43119,0.94481,0.84953,0.79359,0.84941,0.68058,0.72697,0.52445,1.0115,0.0001486,0.0001486,0.0001486
88,12847.6,0.59458,0.42749,0.94495,0.84801,0.7973,0.8502,0.68095,0.72694,0.52778,1.01196,0.0001387,0.0001387,0.0001387
89,12993.4,0.5939,0.42451,0.94239,0.8532,0.79452,0.85076,0.68158,0.72739,0.52281,1.01342,0.0001288,0.0001288,0.0001288
90,13139.2,0.58862,0.42451,0.94053,0.85074,0.79652,0.85175,0.68197,0.72751,0.52354,1.01405,0.0001189,0.0001189,0.0001189
91,13295.6,0.53615,0.35576,0.90303,0.85597,0.79388,0.85068,0.68191,0.72631,0.52488,1.01498,0.000109,0.000109,0.000109
92,13440.5,0.53718,0.35613,0.90206,0.85641,0.78892,0.84933,0.68078,0.72524,0.52371,1.01375,9.91e-05,9.91e-05,9.91e-05
93,13585.5,0.52576,0.34935,0.89925,0.85741,0.78841,0.84905,0.68115,0.72629,0.5251,1.01523,8.92e-05,8.92e-05,8.92e-05
94,13730.7,0.5276,0.34704,0.89675,0.84789,0.79625,0.84994,0.6812,0.72521,0.52318,1.01531,7.93e-05,7.93e-05,7.93e-05
95,13875.5,0.52927,0.34591,0.89759,0.84566,0.7963,0.84922,0.68131,0.72566,0.52564,1.01564,6.94e-05,6.94e-05,6.94e-05
96,14020.5,0.52255,0.34482,0.89816,0.8549,0.78746,0.84905,0.68133,0.72566,0.52746,1.0156,5.95e-05,5.95e-05,5.95e-05
97,14165.6,0.52058,0.34033,0.89384,0.84496,0.80054,0.85025,0.68244,0.72533,0.52745,1.01514,4.96e-05,4.96e-05,4.96e-05
98,14311.5,0.51772,0.33773,0.89241,0.84987,0.79898,0.84993,0.68241,0.72523,0.52784,1.01546,3.97e-05,3.97e-05,3.97e-05
99,14456.7,0.51665,0.3382,0.89236,0.854,0.79729,0.85,0.68287,0.72492,0.52726,1.01446,2.98e-05,2.98e-05,2.98e-05
100,14602.2,0.51532,0.33625,0.89402,0.85066,0.7997,0.85032,0.68286,0.72489,0.52842,1.01467,1.99e-05,1.99e-05,1.99e-05
