epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.542,1.62475,2.2464,1.61241,0.60471,0.52807,0.52496,0.32553,1.3752,1.2202,1.36048,0.00333215,0.00333215,0.00333215
2,518.079,1.46718,1.51414,1.44479,0.63277,0.57105,0.55663,0.33482,1.40804,1.19408,1.36804,0.00662149,0.00662149,0.00662149
3,763.042,1.52816,1.55967,1.49096,0.60503,0.53907,0.53565,0.31186,1.48312,1.29336,1.48688,0.00986683,0.00986683,0.00986683
4,1011.34,1.56904,1.62756,1.52388,0.61793,0.59291,0.56682,0.34297,1.39407,1.23802,1.40707,0.009802,0.009802,0.009802
5,1263.31,1.51499,1.50802,1.4945,0.63885,0.62365,0.59369,0.35982,1.39802,1.21167,1.40113,0.009736,0.009736,0.009736
6,1523.02,1.47645,1.42785,1.46451,0.64962,0.64793,0.6126,0.37137,1.3936,1.0994,1.39314,0.00967,0.00967,0.00967
7,1770.78,1.44444,1.36323,1.43793,0.6773,0.65918,0.62971,0.39471,1.32669,1.02911,1.35126,0.009604,0.009604,0.009604
8,2019.95,1.41107,1.31089,1.41245,0.67899,0.68767,0.65251,0.40843,1.28369,0.96959,1.2976,0.009538,0.009538,0.009538
9,2268.98,1.37679,1.26939,1.39629,0.67791,0.69376,0.66047,0.41579,1.28356,0.98443,1.30642,0.009472,0.009472,0.009472
10,2510.06,1.35556,1.22323,1.37873,0.67351,0.70989,0.66614,0.40825,1.32405,0.92428,1.31965,0.009406,0.009406,0.009406
11,2750.67,1.33866,1.19385,1.36455,0.65382,0.73468,0.68021,0.43294,1.28135,0.89409,1.28848,0.00934,0.00934,0.00934
12,2991.22,1.32021,1.15894,1.34826,0.68419,0.7155,0.69821,0.44628,1.25098,0.8795,1.26502,0.009274,0.009274,0.009274
13,3231.08,1.3145,1.13957,1.3446,0.67693,0.74059,0.68968,0.44535,1.22671,0.86428,1.24634,0.009208,0.009208,0.009208
14,3470.06,1.29682,1.12104,1.33069,0.69464,0.75818,0.70391,0.44624,1.25045,0.84794,1.25286,0.009142,0.009142,0.009142
15,3709.68,1.28698,1.11248,1.32369,0.69579,0.75413,0.70239,0.45418,1.2337,0.82759,1.25083,0.009076,0.009076,0.009076
16,3949.6,1.27885,1.09291,1.31916,0.69191,0.76686,0.70848,0.46265,1.19677,0.80821,1.21844,0.00901,0.00901,0.00901
17,4190.28,1.26711,1.07533,1.30817,0.69324,0.76034,0.71129,0.46582,1.17687,0.79088,1.20014,0.008944,0.008944,0.008944
18,4431.73,1.25076,1.05837,1.30242,0.71092,0.7656,0.71566,0.46551,1.1867,0.78345,1.20365,0.008878,0.008878,0.008878
19,4671.81,1.24493,1.04279,1.29171,0.72371,0.77497,0.72222,0.47183,1.16973,0.78254,1.20648,0.008812,0.008812,0.008812
20,4912.76,1.23418,1.03229,1.28605,0.70722,0.78628,0.72339,0.47786,1.14121,0.73888,1.17633,0.008746,0.008746,0.008746
21,5151.75,1.22793,1.01517,1.28249,0.70393,0.79525,0.72803,0.48705,1.12755,0.74133,1.16954,0.00868,0.00868,0.00868
22,5391.25,1.22258,1.00897,1.28812,0.71978,0.7982,0.73082,0.48428,1.1437,0.7267,1.18473,0.008614,0.008614,0.008614
23,5632.12,1.21386,0.99829,1.27448,0.72364,0.78908,0.73245,0.48697,1.14625,0.73089,1.18326,0.008548,0.008548,0.008548
24,5877.04,1.21621,0.99602,1.2665,0.72796,0.79066,0.73323,0.48709,1.14639,0.71164,1.17646,0.008482,0.008482,0.008482
25,6122.75,1.19748,0.97492,1.26203,0.7389,0.79542,0.73885,0.49561,1.13274,0.70326,1.16905,0.008416,0.008416,0.008416
26,6371.39,1.19832,0.96717,1.26019,0.71938,0.79486,0.73705,0.49695,1.13303,0.7024,1.1645,0.00835,0.00835,0.00835
27,6611.35,1.19248,0.96121,1.24972,0.73585,0.81682,0.74926,0.49909,1.12276,0.68024,1.14511,0.008284,0.008284,0.008284
